"Date","Price","Open","High","Low","Vol.","Change %"
"11/09/2023","167.24","171.03","171.03","166.98","38.58M","-1.55%"
"11/08/2023","169.87","171.70","172.13","169.30","44.94M","-1.07%"
"11/07/2023","171.70","171.56","172.51","170.57","31.17M","-0.35%"
"11/06/2023","172.31","174.49","174.77","171.39","35.29M","-1.25%"
"11/03/2023","174.49","172.80","175.65","172.78","57.06M","2.72%"
"11/02/2023","169.87","167.75","170.00","167.32","50.46M","2.67%"
"11/01/2023","165.46","164.46","165.60","163.10","44.37M","0.57%"
"10/31/2023","164.52","163.40","164.99","162.83","31.53M","0.86%"
"10/30/2023","163.11","163.79","164.81","161.94","35.16M","0.55%"
"10/27/2023","162.21","164.52","164.83","161.67","46.02M","-1.18%"
"10/26/2023","164.14","164.15","165.77","163.20","50.53M","0.26%"
"10/25/2023","163.72","165.01","165.65","163.40","36.83M","-1.65%"
"10/24/2023","166.47","166.45","167.62","165.41","32.67M","0.87%"
"10/23/2023","165.03","165.66","167.46","164.65","45.59M","-0.85%"
"10/20/2023","166.44","168.66","169.03","166.43","54.42M","-1.29%"
"10/19/2023","168.62","170.85","172.15","168.36","51.40M","-1.59%"
"10/18/2023","171.35","173.64","173.66","170.99","38.50M","-2.06%"
"10/17/2023","174.95","171.94","176.42","171.90","39.82M","1.12%"
"10/16/2023","173.02","171.74","173.39","171.02","31.14M","1.62%"
"10/13/2023","170.27","172.35","172.70","169.69","33.97M","-0.83%"
"10/12/2023","171.70","175.88","175.88","170.79","38.69M","-2.26%"
"10/11/2023","175.67","176.12","177.23","174.38","27.43M","-0.17%"
"10/10/2023","175.97","174.31","177.04","174.28","31.58M","1.13%"
"10/09/2023","174.00","171.84","174.54","171.77","26.66M","0.58%"
"10/06/2023","173.00","170.37","173.89","169.51","42.16M","0.96%"
"10/05/2023","171.35","170.80","171.90","169.94","33.27M","0.08%"
"10/04/2023","171.22","171.01","171.61","169.09","42.49M","0.05%"
"10/03/2023","171.14","172.95","173.50","170.37","42.73M","-1.68%"
"10/02/2023","174.07","176.33","176.73","173.15","42.14M","-1.51%"
"09/29/2023","176.74","178.97","179.16","176.15","36.69M","-0.47%"
"09/28/2023","177.58","176.09","178.57","175.97","31.37M","0.90%"
"09/27/2023","175.99","175.45","176.93","174.46","37.29M","0.93%"
"09/26/2023","174.36","175.50","177.02","174.29","30.48M","-1.75%"
"09/25/2023","177.46","175.69","177.86","175.54","22.42M","0.45%"
"09/22/2023","176.67","177.56","178.37","176.56","23.17M","-0.23%"
"09/21/2023","177.07","178.50","178.76","177.07","31.63M","-1.55%"
"09/20/2023","179.86","182.40","183.51","179.82","27.64M","-1.00%"
"09/19/2023","181.68","182.49","183.30","181.07","24.09M","-0.39%"
"09/18/2023","182.39","183.70","183.76","182.37","19.29M","-0.66%"
"09/15/2023","183.61","184.79","185.07","182.79","39.70M","-1.05%"
"09/14/2023","185.55","184.53","186.07","184.24","27.95M","1.41%"
"09/13/2023","182.97","184.50","184.88","182.39","24.42M","-0.66%"
"09/12/2023","184.18","184.04","185.34","183.74","16.83M","-0.10%"
"09/11/2023","184.36","185.26","185.72","184.20","17.42M","0.24%"
